Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
343,Radja Nainggolan,be BEL,"MF,FW",Cagliari,31,1988,20,19,1656.0,5.0,5.0,0.0,0.0,5.0,0.0,0.27,0.27,0.54,0.27,0.54,2.3,2.3,4.9,0.13,0.27,0.39,0.13,0.39,Matches,serieA
344,Nahitan NÃ¡ndez,uy URU,MF,Cagliari,23,1995,23,20,1822.0,1.0,3.0,0.0,0.0,10.0,0.0,0.05,0.15,0.2,0.05,0.2,0.7,0.7,2.3,0.03,0.11,0.15,0.03,0.15,Matches,serieA
345,Michel Ndary Adopo,fr FRA,MF,Torino,19,2000,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,Matches,serieA
346,Emanuele Ndoj,al ALB,MF,Brescia,22,1996,13,5,425.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,0.23,0.07,0.3,0.23,0.30,Matches,serieA
347,Ilija Nestorovski,mk MKD,FW,Udinese,29,1990,16,8,680.0,1.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.26,0.13,0.26,2.3,2.3,0.6,0.31,0.08,0.39,0.31,0.39,Matches,serieA
348,Nicolas Nkoulou,cm CMR,DF,Torino,29,1990,19,19,1687.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.05,0.0,0.05,0.05,0.05,Matches,serieA
349,Bram Nuytinck,nl NED,DF,Udinese,29,1990,15,15,1320.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.03,0.05,0.07,0.03,0.07,Matches,serieA
350,Pedro Obiang,gq EQG,MF,Sassuolo,27,1992,21,17,1541.0,1.0,1.0,0.0,0.0,9.0,0.0,0.06,0.06,0.12,0.06,0.12,1.4,1.4,0.6,0.08,0.03,0.11,0.08,0.11,Matches,serieA
351,Stefano Okaka,it ITA,FW,Udinese,29,1989,21,19,1644.0,5.0,2.0,0.0,0.0,8.0,0.0,0.27,0.11,0.38,0.27,0.38,5.6,5.6,1.5,0.31,0.08,0.39,0.31,0.39,Matches,serieA
352,Christian Oliva,uy URU,MF,Cagliari,23,1996,10,3,373.0,1.0,0.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,0.2,0.2,0.0,0.04,0.01,0.05,0.04,0.05,Matches,serieA
